City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
315,Dunedin,NZ,-45.8742,170.5036,57.79,53,100,8.01,overcast clouds,2022-02-05 00:13:57
316,Cap Malheureux,MU,-19.9842,57.6142,79.47,83,90,5.99,overcast clouds,2022-02-05 00:13:57
317,Luganville,VU,-15.5333,167.1667,80.17,84,100,3.69,overcast clouds,2022-02-05 00:13:58
318,Tautira,PF,-17.7333,-149.15,84.22,76,27,15.32,light rain,2022-02-05 00:13:58
319,Limoges,FR,45.75,1.3333,44.24,93,100,10.36,light intensity drizzle,2022-02-05 00:11:51
320,Camocim,BR,-2.9022,-40.8411,77.92,86,81,11.65,broken clouds,2022-02-05 00:14:30
321,Kohlu,PK,29.8962,69.252,45.03,30,0,1.79,clear sky,2022-02-05 00:14:59
322,Northam,GB,51.0333,-4.2167,45.61,71,39,14.45,scattered clouds,2022-02-05 00:14:59
323,Cacu,BR,-18.5567,-51.1308,74.1,77,82,3.78,heavy intensity rain,2022-02-05 00:14:59
324,Desbiens,CA,48.4178,-71.9495,-3.35,94,87,4.97,overcast clouds,2022-02-05 00:14:59
325,Constitucion,CL,-35.3333,-72.4167,60.98,82,12,14.79,few clouds,2022-02-05 00:15:00
326,Cidreira,BR,-30.1811,-50.2056,72.82,93,99,6.33,overcast clouds,2022-02-05 00:15:00
327,Roebourne,AU,-20.7833,117.1333,88.5,60,77,11.61,broken clouds,2022-02-05 00:15:00
328,Hinton,CA,53.4001,-117.5857,31.95,87,100,5.82,overcast clouds,2022-02-05 00:15:01
329,Zilupe,LV,56.3862,28.1217,17.53,90,78,12.12,broken clouds,2022-02-05 00:15:01
330,Broken Hill,AU,-31.95,141.4333,74.14,40,85,18.03,overcast clouds,2022-02-05 00:15:02
331,Mutsu,JP,41.2894,141.2169,26.01,100,75,5.75,broken clouds,2022-02-05 00:15:02
332,Slave Lake,CA,55.2834,-114.769,3.18,85,100,5.75,overcast clouds,2022-02-05 00:15:02
333,Mahebourg,MU,-20.4081,57.7,79.25,86,100,18.81,light rain,2022-02-05 00:15:03
334,Ancud,CL,-41.8697,-73.8203,61.43,82,81,2.39,broken clouds,2022-02-05 00:15:03
335,Leshukonskoye,RU,64.8989,45.7622,-10.05,100,100,3.15,overcast clouds,2022-02-05 00:15:03
336,Riyadh,SA,24.6877,46.7219,68.14,54,45,13.89,scattered clouds,2022-02-05 00:12:36
337,Minsk,BY,53.9,27.5667,22.75,96,97,11.65,overcast clouds,2022-02-05 00:11:02
338,Sirjan,IR,29.452,55.6814,50.13,37,0,9.15,clear sky,2022-02-05 00:15:04
339,Neiafu,TO,-18.65,-173.9833,80.69,80,100,20.98,light rain,2022-02-05 00:11:46
340,Klaksvik,FO,62.2266,-6.589,36.52,53,90,31.07,overcast clouds,2022-02-05 00:15:04
341,Ahipara,NZ,-35.1667,173.1667,78.1,72,81,16.58,light rain,2022-02-05 00:15:05
342,Carutapera,BR,-1.195,-46.02,75.94,94,99,5.23,light rain,2022-02-05 00:15:05
343,Eyl,SO,7.9803,49.8164,69.69,69,11,7.96,few clouds,2022-02-05 00:15:05
344,Lenger,KZ,42.183,69.8839,26.04,23,41,6.55,scattered clouds,2022-02-05 00:15:06
345,Cananeia,BR,-25.0147,-47.9267,76.86,90,95,4.16,moderate rain,2022-02-05 00:15:06
346,Swan Hill,AU,-35.3378,143.5544,75.83,32,71,13.0,broken clouds,2022-02-05 00:14:25
347,Inta,RU,66.0317,60.1659,3.6,98,98,6.29,overcast clouds,2022-02-05 00:15:06
348,Mut,TR,36.6439,33.4389,33.31,73,9,9.82,clear sky,2022-02-05 00:15:07
349,Kamina,CD,-8.7386,24.9906,59.29,96,91,1.01,overcast clouds,2022-02-05 00:15:07
350,Torbay,CA,47.6666,-52.7314,32.76,96,100,10.36,snow,2022-02-05 00:15:07
351,Sabang,ID,5.8933,95.3214,81.93,73,85,16.24,overcast clouds,2022-02-05 00:15:08
352,Nanortalik,GL,60.1432,-45.2371,11.55,70,100,38.39,overcast clouds,2022-02-05 00:05:40
353,Karatau,KZ,43.1667,70.4667,25.5,90,23,2.28,few clouds,2022-02-05 00:15:08
354,Huty,UA,50.1332,35.3439,9.48,99,90,5.14,overcast clouds,2022-02-05 00:15:09
355,Pasinler,TR,39.9803,41.6764,25.79,95,100,4.36,light snow,2022-02-05 00:15:09
356,Yumen,CN,40.2833,97.2,14.65,39,100,12.88,overcast clouds,2022-02-05 00:15:09
357,Storforshei,NO,66.4043,14.5233,15.58,92,65,8.19,light snow,2022-02-05 00:15:10
358,Vao,NC,-22.6667,167.4833,80.17,87,100,17.67,overcast clouds,2022-02-05 00:15:10
359,Port Lincoln,AU,-34.7333,135.8667,69.62,69,83,13.29,broken clouds,2022-02-05 00:15:10
360,Bani Walid,LY,31.7566,13.9942,54.18,30,1,10.27,clear sky,2022-02-05 00:15:11
361,Nioro,GM,13.35,-15.75,78.4,11,0,3.85,clear sky,2022-02-05 00:15:11
362,Matamoros,MX,25.5333,-103.25,50.11,46,40,6.91,scattered clouds,2022-02-05 00:13:12
363,Cherrapunji,IN,25.3,91.7,41.97,92,99,3.36,overcast clouds,2022-02-05 00:15:11
364,San Policarpo,PH,12.1791,125.5072,79.83,81,100,17.58,overcast clouds,2022-02-05 00:15:12
365,Camargo,MX,27.6667,-105.1667,47.44,22,2,10.69,clear sky,2022-02-05 00:15:12
366,Luanda,AO,-8.8368,13.2343,75.2,88,20,6.91,few clouds,2022-02-05 00:15:12
367,Shima,CN,24.4478,117.8111,52.21,83,98,6.93,overcast clouds,2022-02-05 00:16:13
368,Souillac,MU,-20.5167,57.5167,79.36,86,98,16.53,light rain,2022-02-05 00:16:13
